"Id","Name","Level","Keywords","Description","URL"
"1800","Maritime Christian College","3001","good Christian character and conduct, and exhibit the traits of diligence and sincerity","","http://mccpei.com/wp-content/uploads/2015/02/bursary_application_guidelines_freshmen.pdf"
"1801","Maritime Christian College","3001","member of a Restoration Christian Church/Church of Christ, pursuing full-time ministry","","http://mccpei.com/wp-content/uploads/2015/02/full_tuition_application_guidelines.pdf"
