Year,School Name,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
2000,Donagh Regional ,,22,18,18,20,23,21,13,13,20,,,
2000,Dundas Consolidated ,,11,10,7,10,10,10,9,10,,,,
2000,East Wiltshire Intermediate,,,,,,,,186,189,245,,,
2000,Eastern Kings Consolidated ,,14,8,9,14,11,13,15,16,,,,
2000,Eliot River Elementary,,,,,143,144,130,,,,,,
2000,Ellerslie Elementary ,,31,41,25,44,45,37,,,  ,,,
2000,Elm Street Elementary,,56,52,60,104,100,104,,,,,,
2000,Englewood ,,21,26,27,31,28,26,30,20,25,,,
2000,Fortune Consolidated ,,31,31,36,24,,,,,,,,
2000,Georgetown Elementary ,,12,14,9,13,18,10,7,12,,,,
2000,Glen Stewart Elementary,,79,110,115,113,107,108,,,,,,
2000,Grand Tracadie Elementary ,,10,9,9,9,9,8,,,,,,
2000,Greenfield Elementary,,75,84,95,58,44,53,,,  ,,,
2000,Gulf Shore Consolidated ,,24,41,42,38,44,46,24,40,33,,,
2000,Hernewood Intermediate ,,,,,,,,155,118,102,,,
2000,Kensington Intermediate/Senior High ,,,,,,,,71,77,90,70,73,79
2000,Kinkora Regional High,,,,,,,,,,57,58,51,48
2000,L. M. Montgomery,,52,73,69,71,71,52,,,,,,
2000,M.E. Callaghan Intermediate ,,,,,,,,109,146,95,,,
2000,Miscouche Consolidated,,27,30,25,31,24,24,26,20,26,,,
2000,Montague Consolidated ,,65,66,67,71,67,69,,,,,,
2000,Montague Intermediate ,,,,,,,,77,85,195,,,
2000,Montague Regional High ,,,,,,,,,,,219,208,288
2000,Morell Consolidated ,,29,30,23,27,21,30,25,30,,,,
2000,Morell Regional High ,,,,,,,,,,94,84,70,79
2000,Mt. Stewart Consolidated ,,13,12,13,13,22,14,21,12,,,,
2000,O'Leary Elementary ,,28,36,41,45,42,45,,,  ,,,
2000,Parkdale Elementary ,,20,19,36,27,33,34,,,,,,
2000,Parkside Elementary,,34,54,45,59,58,53,,,,,,
2000,Prince Street Elementary ,,62,61,47,57,61,65,,,,,,
2000,Queen Charlotte Intermediate,,,,,,,,168,179,184,,,
2000,Queen Elizabeth Elementary,,50,80,60,64,89,97,,,   ,,,
2000,Rollo Bay Consolidated ,,,,,,26,39,31,39,,,,
2000,Sherwood Elementary ,,100,91,108,103,110,115,,,,,,
2000,Somerset Elementary ,,25,18,28,20,29,24,19,35,,,,
2000,Souris Consolidated ,,25,24,36,22,34,29,34,30,,,,
2000,Souris Regional High ,,,,,,,,,,79,94,91,86
2000,Southern Kings Consolidated ,,43,49,35,41,48,44,45,54,,,,
2000,Spring Park Elementary ,,69,87,79,84,89,83,,,,,,
2000,St. Jean Elementary ,,43,45,42,37,29,34,,,,,,
2000,St. Louis Elementary ,,27,29,34,26,31,33,,,  ,,,
2000,St. Peter's Consolidated ,,11,14,16,13,11,15,14,17,,,,
2000,St. Teresa's Consolidated ,,9,4,13,6,7,8,8,9,,,,
2000,Stonepark Intermediate,,,,,,,,282,241,312,,,
2000,Summerside Intermediate,,,,,,,,195,219,207,,,
2000,Three Oaks Senior High,,,,,,,,,,,291,291,294
2000,Tignish Elementary ,,44,50,58,52,42,51,,,  ,,,
2000,Tracadie Cross Consolidated ,,18,21,17,10,16,19,9,14,,,,
2000,Vernon River Consolidated ,,21,24,40,25,26,41,22,26,27,,,
