Year,School Name,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
2004,Parkside Elementary,,41,36,45,35,29,54,,,,,,
2004,Prince Street Elementary ,,39,48,44,53,56,61,   ,,,,,
2004,Queen Charlotte Intermediate,,,,,,,,187,201,185,,,
2004,Queen Elizabeth Elementary,,51,66,71,70,53,85,,,,,,
2004,Rollo Bay Consolidated ,,,,,,25,29,34,27,,,,
2004,Sherwood Elementary ,,84,82,90,86,88,94,   ,,,,,
2004,Somerset Elementary ,,18,13,30,21,29,21,25,23,,,,
2004,Souris Consolidated ,,22,16,28,30,26,19,40,27,,,,
2004,Souris Regional High ,,,,,,,,,,77,75,87,87
2004,Southern Kings Consolidated ,,31,38,40,39,36,50,35,39,,,,
2004,Spring Park Elementary ,,55,74,63,76,64,77,   ,,,,,
2004,St. Jean Elementary ,,23,27,27,25,32,35,  ,,,,,
2004,St. Louis Elementary ,,26,26,20,23,27,28,,,,,,
2004,St. Peter's Consolidated ,,8,11,11,10,15,11,15,10,,,,
2004,St. Teresa's Consolidated ,,5,8,8,5,10,6,10,6,,,,
2004,Stonepark Intermediate,,,,,,,,300,280,282,,,
2004,Summerside Intermediate,,,,,,,,204,217,204,,,
2004,Three Oaks Senior High,,,,,,,,,,,332,307,278
2004,Tignish Elementary ,,35,44,36,44,37,50,,,,,,
2004,Tracadie Cross Consolidated ,,10,5,14,17,12,19,17,14,,,,
2004,Vernon River Consolidated ,,20,13,24,26,23,25,37,23,24,,,
2004,West Kent Elementary ,,21,26,32,14,24,15,  ,,,,,
2004,West Royalty Elementary ,,65,74,53,79,81,77,,,,,,
2004,Westisle Composite High ,,,,,,,,,,,242,251,264
2004,Westwood Primary ,,141,127,135,,,,,,,,,
2004,École Évangéline,,15,27,20,28,30,12,24,31,28,32,36,32
2004,École François-Buote,,19,18,22,24,13,19,15,13,20,11,15,18
2004,École St-Augustin,,10,10,3,4,6,2,,,,,,
2004,École-sur-Mer,,9,9,12,8,4,2,,  ,,,,
2004,Centre scolaire cummunautaire française de Prince-Ouest,,6,6,7,7,9,2,3,3,4,,,
2004,École la Belle Cloche,,4,7,2,6,1,5,,,,,,
2004,Immanuel Christian ,,1,5,3,4,3,3,2,3,4,,,
2004,Full Circle Co-operative  ,,,1,1,,,1,1,4,,2,,
2004,Fair Isle Adventist,,1,,1,,1,1,1,3,,,,
2004,Grace Christian,,10,11,16,10,12,9,10,9,11,10,10,4
2005,Alberton Elementary ,,41,30,40,37,41,30,,,,,,
2005,Alternative Education Class,,,,,,,,4,4,10,3,,
2005,Amherst Cove Consolidated,,17,17,18,24,27,21,26,22,,,,
2005,Athena Consolidated,,36,25,33,41,55,43,44,57,52,,,
2005,Belfast Consolidated ,,13,18,16,21,23,28,30,32,33,,,
2005,Birchwood Intermediate,,,,,,,,146,145,137,,,
2005,Bloomfield Elementary ,,20,23,28,42,29,37,,,,,,
2005,Bluefield High,,,,,,,,,,,329,276,239
2005,Cardigan Consolidated,,12,14,18,21,13,28,26,21,,,,
2005,Central Queens Elementary,,35,30,35,32,45,37,,,,,,
2005,Charlottetown Rural High,,,,,,,,,,,378,350,328
2005,Colonel Gray High,,,,,,,,,,,330,360,273
2005,Donagh Regional ,,23,16,16,19,23,22,12,6,12,,,
2005,Dundas Consolidated ,,10,8,11,9,12,9,11,6,,,,
2005,East Wiltshire Intermediate,,,,,,,,198,188,196,,,
2005,Eastern Kings Consolidated ,,6,11,4,17,4,13,7,10,,,,
2005,Eliot River Elementary,,,,,139,136,136,,,,,,
2005,Ellerslie Elementary ,,24,36,19,24,34,36,,,,,,
2005,Elm Street Elementary,,73,55,60,106,103,95,,,,,,
2005,Englewood ,,21,18,23,22,32,22,29,29,32,,,
2005,Fortune Consolidated ,,14,19,13,23,,,,,,,,
2005,Georgetown Elementary ,,14,11,10,12,6,11,13,7,,,,
2005,Glen Stewart Elementary,,101,93,114,102,119,95,,,,,,
2005,Grand Tracadie Elementary ,,8,3,5,6,9,8,,,,,,
2005,Greenfield Elementary,,87,83,91,41,48,51,,,,,,
2005,Gulf Shore Consolidated ,,24,17,28,34,24,28,41,46,35,,,
2005,Hernewood Intermediate ,,,,,,,,121,103,132,,,
2005,Kensington Intermediate/Senior High ,,,,,,,,89,68,73,98,79,67
2005,Kinkora Regional High,,,,,,,,,,52,54,46,41
2005,L. M. Montgomery,,38,39,41,45,63,57,,,,,,
2005,M.E. Callaghan Intermediate ,,,,,,,,105,121,105,,,
2005,Miscouche Consolidated,,28,22,28,37,24,30,30,26,31,,,
2005,Montague Consolidated ,,60,55,75,66,75,70,,,,,,
2005,Montague Intermediate ,,,,,,,,79,76,170,,,
2005,Montague Regional High ,,,,,,,,,,,239,216,270
2005,Morell Consolidated ,,15,13,21,25,26,25,36,22,,,,
2005,Morell Regional High ,,,,,,,,,,83,65,100,98
2005,Mt. Stewart Consolidated ,,3,6,12,5,11,12,12,9,,,,
2005,O’Leary Elementary ,,27,34,37,32,37,28,,,,,,
2005,Parkdale Elementary ,,22,15,19,23,21,18,,,,,,
2005,Parkside Elementary,,20,41,36,44,35,31,,,,,,
2005,Prince Street Elementary ,,22,42,47,44,49,54,,,,,,
2005,Queen Charlotte Intermediate,,,,,,,,179,182,205,,,
2005,Queen Elizabeth Elementary,,56,52,68,70,73,55,,,,,,
2005,Rollo Bay Consolidated ,,,,,,25,26,28,33,,,,
2005,Sherwood Elementary ,,72,87,88,89,93,95,,,,,,
2005,Somerset Elementary ,,21,17,14,31,23,32,21,28,,,,
2005,Souris Consolidated ,,30,22,15,27,29,27,21,40,,,,
2005,Souris Regional High ,,,,,,,,,,66,76,74,82
2005,Southern Kings Consolidated ,,30,31,36,40,39,37,49,32,,,,
2005,Spring Park Elementary ,,58,48,74,65,75,65,,,,,,
2005,St. Jean Elementary ,,15,19,31,29,29,32,,,,,,
2005,St. Louis Elementary ,,17,23,25,20,25,26,,,,,,
2005,St. Peter’s Consolidated ,,10,8,9,10,9,15,10,15,,,,
2005,St. Teresa’s Consolidated ,,4,5,8,10,3,10,6,10,,,,
2005,Stonepark Intermediate,,,,,,,,276,301,278,,,
2005,Summerside Intermediate,,,,,,,,186,206,211,,,
2005,Three Oaks Senior High,,,,,,,,,,,309,341,277
2005,Tignish Elementary ,,27,33,42,34,43,35,,,,,,
2005,Tracadie Cross Consolidated ,,6,10,7,14,19,10,15,19,,,,
2005,Vernon River Consolidated ,,14,18,14,24,23,23,25,37,24,,,
2005,West Kent Elementary ,,26,19,24,31,17,24,,,,,,
2005,West Royalty Elementary ,,48,62,78,53,78,81,,,,,,
2005,Westisle Composite High ,,,,,,,,,,,259,238,272
2005,Westwood Primary ,,128,149,132,,,,,,,,,
2005,École Évangéline,,22,12,26,20,27,27,11,24,29,25,33,35
2005,École François-Buote,,18,18,19,24,26,13,18,16,12,16,10,20
2005,École St-Augustin,,12,9,9,3,4,5,,,,,,
2005,École-sur-Mer,,18,10,7,11,8,2,,,,,,
2005,Centre scolaire cummunautaire française de Prince-Ouest,,8,6,6,8,6,9,3,5,4,5,,
2005,École la Belle Cloche,,4,4,7,2,7,2,5,2,5,,,
2005,Immanuel Christian ,,8,9,6,3,5,6,7,2,3,,,
2005,Full Circle Co-operative  ,,,,1,,,1,,2,6,,2,
2005,Fair Isle Adventist,,,1, ,1,,1,1,1,3,,,
2005,Grace Christian,,11,12,10,14,8,12,7,13,7,11,8,8
2006,Alberton Elementary ,,30,34,32,42,37,39,,,,,,
2006,Alternative Education Class,,,,,,,,,,,,,
2006,Amherst Cove Consolidated,,20,16,19,18,25,27,19,25,,,,
2006,Athena Consolidated,,27,40,26,35,46,54,40,45,54,,,
2006,Belfast Consolidated ,,14,12,19,17,21,22,27,28,34,,,
2006,Birchwood Intermediate,,,,,,,,100,141,141,,,
2006,Bloomfield Elementary ,,33,16,22,29,44,28,,,,,,
2006,Bluefield High,,,,,,,,,,,296,306,255
2006,Cardigan Consolidated,,19,13,14,16,21,13,27,26,,,,
2006,Central Queens Elementary,,28,35,29,35,30,42,,,,,,
2006,Charlottetown Rural High,,,,,,,,,,,381,355,331
2006,Colonel Gray High,,,,,,,,,,,332,330,306
2006,Donagh Regional ,,11,25,15,15,17,24,18,10,12,,,
2006,Dundas Consolidated ,,10,9,8,12,8,11,10,10,,,,
2006,East Wiltshire Intermediate,,,,,,,,186,196,188,,,
2006,Eastern Kings Consolidated ,,8,6,11,4,17,4,13,7,,,,
2006,Eliot River Elementary,,,,,134,144,129,,,,,,
2006,Ellerslie Elementary ,,18,24,37,18,22,30,,,,,,
2006,Elm Street Elementary,,49,73,50,105,103,103,,,,,,
2006,Englewood ,,28,22,19,22,22,31,17,31,28,,,
2006,Fortune Consolidated ,,24,15,20,14,,,,,,,,
2006,Georgetown Elementary ,,13,14,9,10,10,7,8,15,,,,
2006,Glen Stewart Elementary,,105,100,93,117,102,122,,,,,,
2006,Grand Tracadie Elementary ,,6,8,4,7,6,9,,,,,,
2006,Greenfield Elementary,,84,89,74,38,38,49,,,,,,
2006,Gulf Shore Consolidated ,,16,23,18,28,36,25,28,46,45,,,
2006,Hernewood Intermediate ,,,,,,,,106,119,102,,,
2006,Kensington Intermediate/Senior High ,,,,,,,,56,85,62,73,91,79
2006,Kinkora Regional High,,,,,,,,,,47,52,53,44
2006,L. M. Montgomery,,38,38,37,40,48,64,,,,,,
2006,M.E. Callaghan Intermediate ,,,,,,,,88,102,121,,,
2006,Miscouche Consolidated,,15,29,23,31,38,22,26,33,24,,,
2006,Montague Consolidated ,,47,55,55,80,68,74,,,,,,
2006,Montague Intermediate ,,,,,,,,77,79,142,,,
2006,Montague Regional High ,,,,,,,,,,,256,236,222
2006,Morell Consolidated ,,16,16,13,19,25,29,24,36,,,,
2006,Morell Regional High ,,,,,,,,,,76,89,77,95
2006,Mt. Stewart Consolidated ,,9,3,6,12,5,11,12,10,,,,
2006,O'Leary Elementary ,,22,32,35,36,32,39,,,,,,
2006,Parkdale Elementary ,,18,21,13,19,23,21,,,,,,
2006,Parkside Elementary,,36,20,44,34,45,37,,,,,,
2006,Prince Street Elementary ,,44,25,48,44,37,52,,,,,,
2006,Queen Charlotte Intermediate,,,,,,,,182,189,191,,,
2006,Queen Elizabeth Elementary,,41,55,51,67,69,75,,,,,,
2006,Rollo Bay Consolidated ,,,,,,22,25,27,28,,,,
2006,Sherwood Elementary ,,75,72,86,92,91,93,,,,,,
2006,Somerset Elementary ,,12,19,19,14,31,24,31,21,,,,
2006,Souris Consolidated ,,16,30,21,15,28,30,26,25,,,,
2006,Souris Regional High ,,,,,,,,,,81,65,73,77
2006,Southern Kings Consolidated ,,34,30,32,35,41,39,36,48,,,,
2006,Spring Park Elementary ,,55,52,49,66,66,73,,,,,,
2006,St. Jean Elementary ,,19,14,17,29,24,30,,,,,,
2006,St. Louis Elementary ,,20,17,22,24,22,26,,,,,,
2006,St. Peter's Consolidated ,,7,10,7,10,11,8,14,10,,,,
2006,St. Teresa's Consolidated ,,7,4,5,8,10,4,10,7,,,,
2006,Stonepark Intermediate,,,,,,,,273,285,300,,,
2006,Summerside Intermediate,,,,,,,,186,189,214,,,
2006,Three Oaks Senior High,,,,,,,,,,,311,320,282
2006,Tignish Elementary ,,34,27,32,39,34,42,,,,,,
2006,Tracadie Cross Consolidated ,,3,6,11,9,16,17,7,15,,,,
2006,Vernon River Consolidated ,,10,13,20,15,24,24,21,24,37,,,
2006,West Kent Elementary ,,33,27,23,28,33,17,,,,,,
2006,West Royalty Elementary ,,45,51,65,78,60,80,,,,,,
2006,Westisle Composite High ,,,,,,,,,,,240,259,252
2006,Westwood Primary ,,137,127,150,,,,,,,,,
2006,École Évangéline,,17,22,12,25,20,31,27,10,23,29,25,30
2006,École François-Buote,,30,21,18,22,22,27,19,19,17,13,14,8
2006,École St-Augustin,,9,10,9,8,3,3,,,,,,
2006,École-sur-Mer,,14,16,8,7,9,5,,,,,,
2006,Centre scolaire cummunautaire française de Prince-Ouest,,8,8,7,5,7,6,9,3,4,3,3,
2006,École la Belle Cloche,,5,5,5,7,3,7,1,2,2,3,,
2006,Immanuel Christian ,,6,6,8,4,2,5,5,5,2,,,
2006,Full Circle Co-operative  ,,,,,,,,,,3,5,1,3
2006,Grace Christian,,11,12,14,10,14,13,12,10,16,7,12,8
2007,Alberton Elementary ,,21,27,34,33,41,38,,,,,,
2007,Alternative Education Class,,,,,,,,,,,,,
2007,Amherst Cove Consolidated,,14,13,17,19,16,23,26,19,,,,
2007,Athena Consolidated,,37,29,42,24,39,44,60,38,43,,,
2007,Belfast Consolidated ,,12,16,16,18,16,19,21,25,26,,,
2007,Birchwood Intermediate,,,,,,,,100,104,150,,,
2007,Bloomfield Elementary ,,23,30,15,24,28,45,,,,,,
2007,Bluefield High,,,,,,,,,,,306,262,283
2007,Cardigan Consolidated,,6,20,13,16,13,21,12,26,,,,
2007,Central Queens Elementary,,20,29,35,29,34,34,,,,,,
2007,Charlottetown Rural High,,,,,,,,,,,406,375,335
2007,Colonel Gray High,,,,,,,,,,,328,367,269
2007,Donagh Regional ,,14,13,22,17,15,15,14,19,10,,,
2007,Dundas Consolidated ,,10,11,9,8,11,6,11,11,,,,
2007,East Wiltshire Intermediate,,,,,,,,186,187,199,,,
2007,Eastern Kings Consolidated ,,7,9,7,10,5,15,7,10,,,,
2007,Eliot River Elementary,,,,,151,129,147,,,,,,
2007,Ellerslie Elementary ,,21,20,28,35,20,22,,,,,,
2007,Elm Street Elementary,,43,47,68,93,106,105,,,,,,
2007,Englewood ,,18,24,22,18,22,20,24,16,29,,,
2007,Fortune Consolidated ,,12,23,14,20,,,,,,,,
2007,Georgetown Elementary ,,13,14,14,10,10,10,6,7,,,,
2007,Glen Stewart Elementary,,111,107,108,98,115,120,,,,,,
2007,Grand Tracadie Elementary ,,6,5,8,5,7,5,,,,,,
2007,Greenfield Elementary,,70,80,85,30,38,37,,,,,,
2007,Gulf Shore Consolidated ,,26,16,21,19,28,37,27,29,46,,,
2007,Hernewood Intermediate ,,,,,,,,111,105,121,,,
2007,Kensington Intermediate/Senior High ,,,,,,,,76,57,83,70,79,73
2007,Kinkora Regional High,,,,,,,,,,46,50,49,50
2007,L. M. Montgomery,,37,42,37,37,42,47,,,,,,
2007,M.E. Callaghan Intermediate ,,,,,,,,99,90,105,,,
2007,Miscouche Consolidated,,31,16,30,22,31,37,23,25,32,,,
2007,Montague Consolidated ,,56,53,55,57,78,67,,,,,,
2007,Montague Intermediate ,,,,,,,,77,85,171,,,
2007,Montague Regional High ,,,,,,,,,,,231,225,238
2007,Morell Consolidated ,,16,17,16,14,18,23,31,23,,,,
2007,Morell Regional High ,,,,,,,,,,83,79,94,70
2007,Mt. Stewart Consolidated ,,6,7,3,6,11,5,10,10,,,,
2007,O’Leary Elementary ,,19,24,30,37,37,34,,,,,,
2007,Parkdale Elementary ,,15,19,20,16,17,25,,,,,,
2007,Parkside Elementary,,19,38,23,44,35,37,,,,,,
2007,Prince Street Elementary ,,25,45,19,53,47,42,,,,,,
2007,Queen Charlotte Intermediate,,,,,,,,176,177,200,,,
2007,Queen Elizabeth Elementary,,46,42,57,53,67,76,,,,,,
2007,Rollo Bay Consolidated ,,,,,,14,23,26,26,,,,
2007,Sherwood Elementary ,,72,75,77,81,106,93,,,,,,
2007,Somerset Elementary ,,13,12,18,20,14,29,27,33,,,,
2007,Souris Consolidated ,,19,19,27,22,14,31,30,27,,,,
2007,Souris Regional High ,,,,,,,,,,63,77,61,70
2007,Southern Kings Consolidated ,,26,31,29,32,34,45,40,35,,,,
2007,Spring Park Elementary ,,44,53,53,49,68,66,,,,,,
2007,St. Jean Elementary ,,14,20,16,20,28,27,,,,,,
2007,St. Louis Elementary ,,22,17,20,23,23,24,,,,,,
2007,St. Peter’s Consolidated ,,7,7,10,6,10,9,8,13,,,,
2007,St. Teresa’s Consolidated ,,7,5,4,6,9,8,3,8,,,,
2007,Stonepark Intermediate,,,,,,,,310,277,278,,,
2007,Summerside Intermediate,,,,,,,,198,189,183,,,
2007,Three Oaks Senior High,,,,,,,,,,,312,309,299
2007,Tignish Elementary ,,46,34,27,33,40,34,,,,,,
2007,Tracadie Cross Consolidated ,,11,3,7,10,9,15,17,8,,,,
2007,Vernon River Consolidated ,,8,9,10,19,15,26,24,21,24,,,
2007,West Kent Elementary ,,18,35,29,24,32,31,,,,,,
2007,West Royalty Elementary ,,51,48,48,75,83,58,,,,,,
2007,Westisle Composite High ,,,,,,,,,,,223,237,279
2007,Westwood Primary ,,124,145,127,,,,,,,,,
2007,École Évangéline,,12,17,21,13,25,18,30,27,8,22,28,26
2007,École François-Buote,,19,26,23,17,23,23,30,20,16,10,12,10
2007,École St-Augustin,,7,10,11,9,8,3,,,,,,
2007,École-sur-Mer,,12,15,17,8,6,9,,,,,,
2007,École Pierre-Chaisson,,5,9,6,5,6,7,7,8,2,3,3,2
2007,École la Belle Cloche,,4,5,4,5,7,1,7,,3,2,2, 
2007,Immanuel Christian ,,7,7,6,8,3,3,2,2,4,,,
2007,Full Circle Co-operative  ,,,,,,,2,,1,4,4,2,
2007,Grace Christian,,10,11,11,15,12,15,13,15,9,13,7,8
2008,Alberton Elementary ,,30,19,29,33,35,40,,,,,,
2008,Alternative Education Class,,,,,,,,,,,,,
2008,Amherst Cove Consolidated,,15,12,13,17,22,15,23,26,,,,
2008,Athena Consolidated,,35,38,28,44,25,41,43,67,36,,,
2008,Belfast Consolidated ,,14,11,15,12,18,16,18,24,,,,
2008,Birchwood Intermediate,,,,,,,,92,105,109,,,
2008,Bloomfield Elementary ,,37,22,29,13,22,30,,,,,,
2008,Bluefield High,,,,,,,,,,,287,282,252
2008,Cardigan Consolidated,,19,7,20,12,15,12,21,12,,,,
2008,Central Queens Elementary,,35,21,30,34,27,35,,,,,,
2008,Charlottetown Rural High,,,,,,,,,,,414,371,334
2008,Colonel Gray High,,,,,,,,,,,329,336,305
2008,Donagh Regional ,,21,15,13,22,19,15,6,14,18,,,
2008,Dundas Consolidated ,,4,10,11,8,8,11,6,11,,,,
2008,East Wiltshire Intermediate,,,,,,,,190,187,180,,,
2008,Eastern Kings Consolidated ,,,8,6,8,10,6,12,5,,,,
2008,Eliot River Elementary,,,,,134,155,124,,,,,,
2008,Ellerslie Elementary ,,29,24,21,26,37,21,,,,,,
2008,Elm Street Elementary,,38,47,49,68,90,101,,,,,,
2008,Englewood ,,22,17,26,23,18,20,18,25,15,,,
2008,Fortune Consolidated ,,9,10,21,13,,,,,,,,
2008,Georgetown Elementary ,,11,14,14,15,12,10,12,6,,,,
2008,Glen Stewart Elementary,,101,104,110,108,103,113,,,,,,
2008,Grand Tracadie Elementary ,,1,6,7,6,5,5,,,,,,
2008,Greenfield Elementary,,82,66,79,81,30,43,,,,,,
2008,Gulf Shore Consolidated ,,18,25,13,22,20,29,38,26,29,,,
2008,Hernewood Intermediate ,,,,,,,,111,113,106,,,
2008,Kensington Intermediate/Senior High ,,,,,,,,79,74,55,88,61,71
2008,Kinkora Regional High,,,,,,,,,,50,46,48,51
2008,L. M. Montgomery,,46,36,40,40,37,41,,,,,,
2008,M.E. Callaghan Intermediate ,,,,,,,,91,98,92,,,
2008,Miscouche Consolidated,,23,33,18,32,24,35,37,23,25,,,
2008,Montague Consolidated ,,61,57,55,57,59,81,,,,,,
2008,Montague Intermediate ,,,,,,,,76,83,166,,,
2008,Montague Regional High ,,,,,,,,,,,250,212,230
2008,Morell Consolidated ,,16,16,21,15,14,21,24,28,,,,
2008,Morell Regional High ,,,,,,,,,,70,84,79,76
2008,Mt. Stewart Consolidated ,,4,8,7,2,5,10,4,10,,,,
2008,O'Leary Elementary ,,25,18,23,30,36,36,,,,,,
2008,Parkdale Elementary ,,15,16,19,19,14,17,,,,,,
2008,Parkside Elementary,,23,18,37,26,42,33,,,,,,
2008,Prince Street Elementary ,,35,31,45,21,48,55,,,,,,
2008,Queen Charlotte Intermediate,,,,,,,,158,180,193,,,
2008,Queen Elizabeth Elementary,,38,48,41,52,54,68,,,,,,
2008,Rollo Bay Consolidated ,,,,,,20,14,,,,,,
2008,Sherwood Elementary ,,61,71,80,73,84,109,,,,,,
2008,Somerset Elementary ,,21,15,14,20,19,17,27,23,,,,
2008,Souris Consolidated ,,29,19,20,29,22,18,58,57,,,,
2008,Souris Regional High ,,,,,,,,,,68,68,77,66
2008,Southern Kings Consolidated ,,26,25,35,29,31,33,46,37,,,,
2008,Spring Park Elementary ,,58,43,49,48,52,68,,,,,,
2008,St. Jean Elementary ,,17,16,16,16,17,26,,,,,,
2008,St. Louis Elementary ,,23,22,18,22,22,23,,,,,,
2008,St. Peter's Consolidated ,,5,9,5,9,6,8,9,8,,,,
2008,St. Teresa's Consolidated ,,5,6,5,4,6,10,8,3,,,,
2008,Stonepark Intermediate,,,,,,,,283,315,277,,,
2008,Summerside Intermediate,,,,,,,,190,193,200,,,
2008,Three Oaks Senior High,,,,,,,,,,,285,328,278
2008,Tignish Elementary ,,34,45,35,28,33,41,,,,,,
2008,Tracadie Cross Consolidated ,,4,12,3,6,11,6,16,16,,,,
2008,Vernon River Consolidated ,,10,8,9,11,20,14,21,24,20,,,
2008,West Kent Elementary ,,36,23,34,32,24,34,,,,,,
2008,West Royalty Elementary ,,61,58,59,58,75,87,,,,,,
2008,Westisle Composite High ,,,,,,,,,,,230,218,254
2008,Westwood Primary ,,134,125,149,,,,,,,,,
2008,École Évangéline,,22,12,15,23,14,24,20,31,25,8,20,28
2008,École François-Buote,,26,20,30,28,16,22,26,30,22,11,9,14
2008,École St-Augustin,,5,7,9,10,9,8,,,,,,
2008,École-sur-Mer,,16,13,11,15,6,7,,,,,,
2008,École Pierre-Chaisson,,7,4,7,7,5,5,4,6,5,1,3,5
2008,École la Belle Cloche,,3,4,5,4,4,7,,4,,2,2,1
2008,Immanuel Christian ,,9,9,7,8,9,7,6,5,4,,,
2008,Full Circle Co-operative  ,,,,,,,,2,,2,3,4,1
2008,Grace Christian,,14,11,9,14,12,12,15,11,15,5,13,5
2009,Alberton Elementary,,19,28,20,30,33,37,,,,,,
2009,Amherst Cove Consolidated,,22,13,11,14,14,20,13,21,,,,
2009,Athena Consolidated,,37,35,40,28,50,26,47,43,64,,,
2009,Belfast Consolidated,,13,13,11,13,14,16,14,14,17,,,
2009,Birchwood Intermediate,,,,,,,,93,101,102,,,
2009,Bloomfield Elementary,,26,37,21,28,13,21,,,,,,
2009,Bluefield High,,,,,,,,,,,250,275,263
2009,Cardigan Consolidated      ,,16,23,14,27,16,22,,,,,,
2009,Central Queens Elementary,,32,36,23,29,37,27,,,,,,
2009,Charlottetown Rural High  ,,,,,,,,,,,367,366,371
2009,Colonel Gray High,,,,,,,,,,,325,339,280
2009,Donagh Regional ,,21,22,16,14,21,19,8,5,15,,,
2009,East Wiltshire Intermediate ,,,,,,,,179,196,185,,,
2009,Eliot River Elementary,,,,,154,132,162,,,,,,
2009,Ellerslie Elementary,,40,29,22,21,28,36,,,,,,
2009,Elm Street Elementary,,56,43,49,98,106,89,,,,,,
2009,Englewood,,25,22,17,26,22,18,17,20,24,,,
2009,Georgetown Consolidated,,5,12,15,15,14,12,9,12,,,,
2009,Glen Stewart Elementary,,142,103,106,110,113,106,,,,,,
2009,Greenfield Elementary,,82,71,67,27,40,29,,,,,,
2009,Gulf Shore Consolidated,,19,18,24,14,22,19,28,37,25,,,
2009,Hernewood Junior High,,,,,,,,102,109,113,,,
2009,Kensington Intermediate/Senior High,,,,,,,,69,79,76,52,92,67
2009,Kinkora Regional High,,,,,,,,,,48,51,43,44
2009,L. M. Montgomery Elementary    ,,55,47,43,51,44,47,,,,,,
2009,M.E. Callaghan Intermediate,,,,,,,,92,92,98,,,
2009,Miscouche Consolidated,,23,24,32,19,31,22,35,36,22,,,
2009,Montague Consolidated,,52,62,55,55,57,58,,,,,,
2009,Montague Intermediate ,,,,,,,,102,102,155,,,
2009,Montague Regional High,,,,,,,,,,,229,216,196
2009,Morell Consolidated,,23,22,28,25,27,21,29,36,,,,
2009,Morell Regional High,,,,,,,,,,69,70,86,75
2009,Mt. Stewart Consolidated,,16,10,23,15,10,20,24,22,,,,
2009,O’Leary Elementary,,22,24,19,21,29,34,,,,,,
2009,Parkdale Elementary,,17,14,17,18,19,15,,,,,,
2009,Parkside Elementary,,26,24,20,35,28,40,,,,,,
2009,Prince Street Elementary,,34,39,29,50,22,44,,,,,,
2009,Queen Charlotte Intermediate,,,,,,,,200,162,195,,,
2009,Queen Elizabeth Elementary,,43,37,47,41,50,54,,,,,,
2009,Sherwood Elementary,,90,57,69,81,75,79,,,,,,
2009,Somerset Elementary ,,18,22,16,13,19,18,17,26,,,,
2009,Souris Consolidated,,46,40,37,49,51,55,34,,,,,
2009,Souris Regional High,,,,,,,,,71,68,70,63,76
2009,Southern Kings Consolidated,,26,27,24,35,30,32,34,45,,,,
2009,Spring Park Elementary,,66,52,45,47,54,55,,,,,,
2009,St. Jean Elementary,,14,18,18,14,12,18,,,,,,
2009,St. Louis Elementary,,24,25,22,17,24,22,,,,,,
2009,Stonepark Intermediate ,,,,,,,,300,289,309,,,
2009,Summerside Intermediate,,,,,,,,176,197,200,,,
2009,Three Oaks Senior High,,,,,,,,,,,273,283,309
2009,Tignish Elementary,,40,38,44,37,26,33,,,,,,
2009,Vernon River Consolidated,,15,10,8,11,10,20,14,20,20,,,
2009,West Kent Elementary,,28,50,23,36,33,22,,,,,,
2009,West Royalty Elementary,,64,63,61,64,62,77,,,,,,
2009,Westisle Composite High,,,,,,,,,,,201,221,241
2009,Westwood Primary,,146,138,128,,,,,,,,,
2009,École Évangéline,,17,22,12,15,22,15,29,22,31,23,8,21
2009,École François-Buote,,25,25,23,28,27,18,26,27,28,18,11,11
2009,École St-Augustin,,4,4,7,9,10,9,,,,,,
2009,École-sur-Mer,,10,15,12,12,15,3,,,,,,
2009,École Pierre-Chaisson,,7,6,4,7,7,5,5,4,6,5,1,4
2009,École la Belle Cloche,,8,2,5,5,3,3,8,0,3,0,2,1
2009,Immanuel Christian ,,9,10,9,8,8,9,7,6,6,,,
2009,Full Circle Co-operative  ,,,,,,,,,1,0,2,2,4
2009,Grace Christian,,10,7,10,6,12,10,10,14,9,7,5,12
2010,Alberton Elementary,24,21,19,28,20,30,33,,,,,,
2010,Amherst Cove,20,16,22,12,10,15,14,17,12,,,,
2010,Athena Consolidated,37,35,38,38,42,32,54,27,45,46,,,
2010,Belfast Consolidated,3,10,14,14,11,13,16,17,15,13,,,
2010,Birchwood Intermediate,,,,,,,,80,94,109,,,
2010,Bloomfield Elementary,29,29,26,36,19,27,15,,,,,,
2010,Bluefield,,,,,,,,,,,239,245,278
2010,Cardigan Consolidated,19,23,14,26,12,28,14,,,,,,
2010,Central Queens Elementary,42,44,31,34,25,30,38,,,,,,
2010,Charlottetown Rural,,,,,,,,,,,354,338,352
2010,Colonel Gray,,,,,,,,,,,364,319,318
2010,Donagh Regional,17,20,21,19,16,14,22,2,9,6,,,
2010,East Wiltshire Intermediate,,,,,,,,192,178,201,,,
2010,Eliot River Elementary,,,,,127,154,136,,,,,,
2010,Ellerslie Elementary,22,40,35,28,22,19,24,,,,,,
2010,Elm St. Elementary,66,62,61,50,57,99,107,,,,,,
2010,Englewood,20,19,25,20,16,25,22,17,18,19,,,
2010,Georgetown Consolidated,6,13,5,11,14,16,14,9,10,,,,
2010,Glen Stewart Elementary,140,124,143,102,,,,,,,,,
2010,Greenfield Elementary,48,58,61,47,48,25,37,,,,,,
2010,Gulf Shore Consolidated,18,24,22,20,25,14,23,21,29,36,,,
2010,Hernewood,,,,,,,,97,102,108,,,
2010,Kensington Int/Snr High,,,,,,,,59,70,77,76,56,91
