School,Year,Size
Colonel Gray Senior High,2010,1001
Colonel Gray Senior High,2011,961
Colonel Gray Senior High,2012,947
Colonel Gray Senior High,2013,884
Colonel Gray Senior High,2014,866
Colonel Gray Senior High,2015,845
Donagh Regional,1999,178
Donagh Regional,2000,168
Donagh Regional,2001,166
Donagh Regional,2002,163
Donagh Regional,2003,161
Donagh Regional,2004,151
Donagh Regional,2005,149
Donagh Regional,2006,147
Donagh Regional,2007,139
Donagh Regional,2008,143
Donagh Regional,2009,141
Donagh Regional,2010,146
Donagh Regional,2011,137
Donagh Regional,2012,125
Donagh Regional,2013,126
Donagh Regional,2014,122
Donagh Regional,2015,116
Dundas Consolidated,1999,76
Dundas Consolidated,2000,77
Dundas Consolidated,2001,78
Dundas Consolidated,2002,78
Dundas Consolidated,2003,74
Dundas Consolidated,2004,77
Dundas Consolidated,2005,76
Dundas Consolidated,2006,78
Dundas Consolidated,2007,77
Dundas Consolidated,2008,69
Dundas Consolidated,2009,0
Dundas Consolidated,2010,0
Dundas Consolidated,2011,0
Dundas Consolidated,2012,0
Dundas Consolidated,2013,0
Dundas Consolidated,2014,0
Dundas Consolidated,2015,0
East Wiltshire Intermediate,1999,626
East Wiltshire Intermediate,2000,620
East Wiltshire Intermediate,2001,581
East Wiltshire Intermediate,2002,611
East Wiltshire Intermediate,2003,609
East Wiltshire Intermediate,2004,606
East Wiltshire Intermediate,2005,582
East Wiltshire Intermediate,2006,570
East Wiltshire Intermediate,2007,572
East Wiltshire Intermediate,2008,557
East Wiltshire Intermediate,2009,560
East Wiltshire Intermediate,2010,571
East Wiltshire Intermediate,2011,557
East Wiltshire Intermediate,2012,546
East Wiltshire Intermediate,2013,525
East Wiltshire Intermediate,2014,542
East Wiltshire Intermediate,2015,563
Eastern Kings Consolidated,1999,92
Eastern Kings Consolidated,2000,100
Eastern Kings Consolidated,2001,83
Eastern Kings Consolidated,2002,81
Eastern Kings Consolidated,2003,77
Eastern Kings Consolidated,2004,79
Eastern Kings Consolidated,2005,72
Eastern Kings Consolidated,2006,70
Eastern Kings Consolidated,2007,70
Eastern Kings Consolidated,2008,55
Eastern Kings Consolidated,2009,0
Eastern Kings Consolidated,2010,0
Eastern Kings Consolidated,2011,0
Eastern Kings Consolidated,2012,0
Eastern Kings Consolidated,2013,0
Eastern Kings Consolidated,2014,0
Eastern Kings Consolidated,2015,0
Eliot River Elementary,1999,403
Eliot River Elementary,2000,417
Eliot River Elementary,2001,439
Eliot River Elementary,2002,437
Eliot River Elementary,2003,434
Eliot River Elementary,2004,423
Eliot River Elementary,2005,411
Eliot River Elementary,2006,407
Eliot River Elementary,2007,427
Eliot River Elementary,2008,413
Eliot River Elementary,2009,448
Eliot River Elementary,2010,417
Eliot River Elementary,2011,429
Eliot River Elementary,2012,435
Eliot River Elementary,2013,457
Eliot River Elementary,2014,450
Eliot River Elementary,2015,441
Ellerslie Elementary,1999,243
Ellerslie Elementary,2000,223
Ellerslie Elementary,2001,214
Ellerslie Elementary,2002,193
Ellerslie Elementary,2003,179
Ellerslie Elementary,2004,183
Ellerslie Elementary,2005,173
Ellerslie Elementary,2006,149
Ellerslie Elementary,2007,146
Ellerslie Elementary,2008,158
Ellerslie Elementary,2009,176
Ellerslie Elementary,2010,190
Ellerslie Elementary,2011,188
Ellerslie Elementary,2012,186
Ellerslie Elementary,2013,199
Ellerslie Elementary,2014,202
Ellerslie Elementary,2015,201
Elm Street Elementary,1999,477
Elm Street Elementary,2000,476
Elm Street Elementary,2001,444
Elm Street Elementary,2002,488
Elm Street Elementary,2003,467
Elm Street Elementary,2004,468
Elm Street Elementary,2005,492
Elm Street Elementary,2006,483
Elm Street Elementary,2007,462
Elm Street Elementary,2008,393
Elm Street Elementary,2009,441
Elm Street Elementary,2010,502
Elm Street Elementary,2011,438
