School,Year,Size
St. Peter's Consolidated,2006,77
St. Peter's Consolidated,2007,70
St. Peter's Consolidated,2008,59
St. Peter's Consolidated,2009,0
St. Peter's Consolidated,2010,0
St. Peter's Consolidated,2011,0
St. Peter's Consolidated,2012,0
St. Peter's Consolidated,2013,0
St. Peter's Consolidated,2014,0
St. Peter's Consolidated,2015,0
St. Teresa's Consolidated,1999,69
St. Teresa's Consolidated,2000,64
St. Teresa's Consolidated,2001,62
St. Teresa's Consolidated,2002,66
St. Teresa's Consolidated,2003,63
St. Teresa's Consolidated,2004,58
St. Teresa's Consolidated,2005,56
St. Teresa's Consolidated,2006,55
St. Teresa's Consolidated,2007,50
St. Teresa's Consolidated,2008,47
St. Teresa's Consolidated,2009,0
St. Teresa's Consolidated,2010,0
St. Teresa's Consolidated,2011,0
St. Teresa's Consolidated,2012,0
St. Teresa's Consolidated,2013,0
St. Teresa's Consolidated,2014,0
St. Teresa's Consolidated,2015,0
Stonepark Intermediate,1999,846
Stonepark Intermediate,2000,835
Stonepark Intermediate,2001,764
Stonepark Intermediate,2002,814
Stonepark Intermediate,2003,819
Stonepark Intermediate,2004,862
Stonepark Intermediate,2005,855
Stonepark Intermediate,2006,858
Stonepark Intermediate,2007,865
Stonepark Intermediate,2008,875
Stonepark Intermediate,2009,898
Stonepark Intermediate,2010,824
Stonepark Intermediate,2011,808
Stonepark Intermediate,2012,773
Stonepark Intermediate,2013,767
Stonepark Intermediate,2014,768
Stonepark Intermediate,2015,832
Stratford Elementary,1999,0
Stratford Elementary,2000,0
Stratford Elementary,2001,0
Stratford Elementary,2002,0
Stratford Elementary,2003,0
Stratford Elementary,2004,0
Stratford Elementary,2005,0
Stratford Elementary,2006,0
Stratford Elementary,2007,0
Stratford Elementary,2008,0
Stratford Elementary,2009,0
Stratford Elementary,2010,336
Stratford Elementary,2011,341
Stratford Elementary,2012,375
Stratford Elementary,2013,408
Stratford Elementary,2014,430
Stratford Elementary,2015,441
Summerside Intermediate,1999,626
Summerside Intermediate,2000,621
Summerside Intermediate,2001,620
Summerside Intermediate,2002,622
Summerside Intermediate,2003,644
Summerside Intermediate,2004,625
Summerside Intermediate,2005,603
Summerside Intermediate,2006,589
Summerside Intermediate,2007,570
Summerside Intermediate,2008,583
Summerside Intermediate,2009,573
Summerside Intermediate,2010,540
Summerside Intermediate,2011,523
Summerside Intermediate,2012,519
Summerside Intermediate,2013,489
Summerside Intermediate,2014,469
Summerside Intermediate,2015,467
Three Oaks Senior High,1999,856
Three Oaks Senior High,2000,876
Three Oaks Senior High,2001,903
Three Oaks Senior High,2002,924
Three Oaks Senior High,2003,917
Three Oaks Senior High,2004,917
Three Oaks Senior High,2005,927
Three Oaks Senior High,2006,913
Three Oaks Senior High,2007,920
Three Oaks Senior High,2008,891
Three Oaks Senior High,2009,865
Three Oaks Senior High,2010,845
Three Oaks Senior High,2011,838
Three Oaks Senior High,2012,845
Three Oaks Senior High,2013,777
Three Oaks Senior High,2014,772
Three Oaks Senior High,2015,748
Tignish Elementary,1999,300
Tignish Elementary,2000,297
Tignish Elementary,2001,293
Tignish Elementary,2002,273
Tignish Elementary,2003,268
Tignish Elementary,2004,246
Tignish Elementary,2005,214
Tignish Elementary,2006,208
Tignish Elementary,2007,214
Tignish Elementary,2008,216
Tignish Elementary,2009,218
Tignish Elementary,2010,252
Tignish Elementary,2011,268
Tignish Elementary,2012,255
Tignish Elementary,2013,228
Tignish Elementary,2014,213
Tignish Elementary,2015,209
Tracadie Cross Consolidated,1999,124
Tracadie Cross Consolidated,2000,124
Tracadie Cross Consolidated,2001,123
Tracadie Cross Consolidated,2002,127
Tracadie Cross Consolidated,2003,105
Tracadie Cross Consolidated,2004,108
Tracadie Cross Consolidated,2005,100
Tracadie Cross Consolidated,2006,84
Tracadie Cross Consolidated,2007,80
Tracadie Cross Consolidated,2008,74
Tracadie Cross Consolidated,2009,0
Tracadie Cross Consolidated,2010,0
Tracadie Cross Consolidated,2011,0
Tracadie Cross Consolidated,2012,0
Tracadie Cross Consolidated,2013,0
Tracadie Cross Consolidated,2014,0
Tracadie Cross Consolidated,2015,0
Vernon River Consolidated,1999,256
Vernon River Consolidated,2000,252
Vernon River Consolidated,2001,236
Vernon River Consolidated,2002,245
Vernon River Consolidated,2003,231
Vernon River Consolidated,2004,215
Vernon River Consolidated,2005,202
Vernon River Consolidated,2006,188
Vernon River Consolidated,2007,156
Vernon River Consolidated,2008,137
Vernon River Consolidated,2009,128
Vernon River Consolidated,2010,154
Vernon River Consolidated,2011,153
Vernon River Consolidated,2012,145
Vernon River Consolidated,2013,141
Vernon River Consolidated,2014,148
Vernon River Consolidated,2015,157
West Kent Elementary,1999,359
West Kent Elementary,2000,138
West Kent Elementary,2001,127
West Kent Elementary,2002,121
West Kent Elementary,2003,135
West Kent Elementary,2004,132
West Kent Elementary,2005,141
West Kent Elementary,2006,161
West Kent Elementary,2007,169
West Kent Elementary,2008,183
West Kent Elementary,2009,192
West Kent Elementary,2010,218
West Kent Elementary,2011,214
West Kent Elementary,2012,201
West Kent Elementary,2013,201
West Kent Elementary,2014,161
West Kent Elementary,2015,170
West Royalty Elementary,1999,207
West Royalty Elementary,2000,458
West Royalty Elementary,2001,450
West Royalty Elementary,2002,436
West Royalty Elementary,2003,431
West Royalty Elementary,2004,429
West Royalty Elementary,2005,400
West Royalty Elementary,2006,379
West Royalty Elementary,2007,363
West Royalty Elementary,2008,398
West Royalty Elementary,2009,391
West Royalty Elementary,2010,436
West Royalty Elementary,2011,466
West Royalty Elementary,2012,484
West Royalty Elementary,2013,477
West Royalty Elementary,2014,506
West Royalty Elementary,2015,521
Westisle Composite High,1999,813
Westisle Composite High,2000,761
Westisle Composite High,2001,728
Westisle Composite High,2002,742
Westisle Composite High,2003,737
Westisle Composite High,2004,757
Westisle Composite High,2005,769
Westisle Composite High,2006,751
Westisle Composite High,2007,739
Westisle Composite High,2008,702
Westisle Composite High,2009,663
Westisle Composite High,2010,669
Westisle Composite High,2011,648
Westisle Composite High,2012,628
Westisle Composite High,2013,597
Westisle Composite High,2014,543
Westisle Composite High,2015,513
Westwood Primary,1999,424
Westwood Primary,2000,428
Westwood Primary,2001,435
Westwood Primary,2002,416
Westwood Primary,2003,394
Westwood Primary,2004,403
Westwood Primary,2005,409
Westwood Primary,2006,414
Westwood Primary,2007,396
Westwood Primary,2008,408
Westwood Primary,2009,412
Westwood Primary,2010,570
Westwood Primary,2011,583
Westwood Primary,2012,576
Westwood Primary,2013,582
Westwood Primary,2014,604
Westwood Primary,2015,576
