School,Family,Metric,# Students
Alberton Elementary,Westisle,Capacity at Build,320
Alberton Elementary,Westisle,Current Capacity,320
Alberton Elementary,Westisle,2016 Enrollment,131
Alberton Elementary,Westisle,2022 Enrollment,82
Amherst Cove Consolidated,Kinkora,Capacity at Build,280
Amherst Cove Consolidated,Kinkora,Current Capacity,280
Amherst Cove Consolidated,Kinkora,2016 Enrollment,137
Amherst Cove Consolidated,Kinkora,2022 Enrollment,104
Athena Consolidated,Three Oaks,Capacity at Build,460
Athena Consolidated,Three Oaks,Current Capacity,460
Athena Consolidated,Three Oaks,2016 Enrollment,338
Athena Consolidated,Three Oaks,2022 Enrollment,259
Belfast Consolidated,Montague,Capacity at Build,400
Belfast Consolidated,Montague,Current Capacity,334
Belfast Consolidated,Montague,2016 Enrollment,102
Belfast Consolidated,Montague,2022 Enrollment,112
Birchwood Intermediate,Gray,Capacity at Build,600
Birchwood Intermediate,Gray,Current Capacity,550
Birchwood Intermediate,Gray,2016 Enrollment,227
Birchwood Intermediate,Gray,2022 Enrollment,221
Bloomfield Elementary,Westisle,Capacity at Build,340
Bloomfield Elementary,Westisle,Current Capacity,287
Bloomfield Elementary,Westisle,2016 Enrollment,227
Bloomfield Elementary,Westisle,2022 Enrollment,213
Bluefield Senior High,Bluefield,Capacity at Build,900
Bluefield Senior High,Bluefield,Current Capacity,830
Bluefield Senior High,Bluefield,2016 Enrollment,682
Bluefield Senior High,Bluefield,2022 Enrollment,704
Cardigan Consolidated,Montague,Capacity at Build,300
Cardigan Consolidated,Montague,Current Capacity,220
Cardigan Consolidated,Montague,2016 Enrollment,95
Cardigan Consolidated,Montague,2022 Enrollment,73
Central Queens Elementary,Bluefield,Capacity at Build,375
Central Queens Elementary,Bluefield,Current Capacity,287
Central Queens Elementary,Bluefield,2016 Enrollment,250
Central Queens Elementary,Bluefield,2022 Enrollment,260
Charlottetown Rural Senior High,Rural,Capacity at Build,1100
Charlottetown Rural Senior High,Rural,Current Capacity,900
Charlottetown Rural Senior High,Rural,2016 Enrollment,899
Charlottetown Rural Senior High,Rural,2022 Enrollment,988
Colonel Gray Senior High,Gray,Capacity at Build,1100
Colonel Gray Senior High,Gray,Current Capacity,900
Colonel Gray Senior High,Gray,2016 Enrollment,851
Colonel Gray Senior High,Gray,2022 Enrollment,966
Donagh Regional,Rural,Capacity at Build,320
Donagh Regional,Rural,Current Capacity,250
Donagh Regional,Rural,2016 Enrollment,123
Donagh Regional,Rural,2022 Enrollment,127
East Wiltshire Intermediate,Bluefield,Capacity at Build,480
East Wiltshire Intermediate,Bluefield,Current Capacity,648
East Wiltshire Intermediate,Bluefield,2016 Enrollment,616
East Wiltshire Intermediate,Bluefield,2022 Enrollment,503
Eliot River Elementary,Bluefield,Capacity at Build,480
Eliot River Elementary,Bluefield,Current Capacity,513
Eliot River Elementary,Bluefield,2016 Enrollment,430
Eliot River Elementary,Bluefield,2022 Enrollment,394
Ellerslie Elementary,Westisle,Capacity at Build,380
Ellerslie Elementary,Westisle,Current Capacity,348
Ellerslie Elementary,Westisle,2016 Enrollment,199
Ellerslie Elementary,Westisle,2022 Enrollment,212
Elm Street Elementary,Three Oaks,Capacity at Build,460
Elm Street Elementary,Three Oaks,Current Capacity,618
Elm Street Elementary,Three Oaks,2016 Enrollment,444
Elm Street Elementary,Three Oaks,2022 Enrollment,421
Englewood,Bluefield,Capacity at Build,450
Englewood,Bluefield,Current Capacity,255
Englewood,Bluefield,2016 Enrollment,184
Englewood,Bluefield,2022 Enrollment,191
Georgetown Elementary,Montague,Capacity at Build,200
Georgetown Elementary,Montague,Current Capacity,174
Georgetown Elementary,Montague,2016 Enrollment,49
Georgetown Elementary,Montague,2022 Enrollment,46
Glen Stewart Primary,Rural,Capacity at Build,600
Glen Stewart Primary,Rural,Current Capacity,550
Glen Stewart Primary,Rural,2016 Enrollment,659
Glen Stewart Primary,Rural,2022 Enrollment,667
Greenfield Elementary,Three Oaks,Capacity at Build,440
Greenfield Elementary,Three Oaks,Current Capacity,440
Greenfield Elementary,Three Oaks,2016 Enrollment,337
Greenfield Elementary,Three Oaks,2022 Enrollment,311
Gulf Shore Consolidated,Bluefield,Capacity at Build,400
Gulf Shore Consolidated,Bluefield,Current Capacity,400
Gulf Shore Consolidated,Bluefield,2016 Enrollment,254
Gulf Shore Consolidated,Bluefield,2022 Enrollment,303
Hernewood Intermediate,Westisle,Capacity at Build,460
Hernewood Intermediate,Westisle,Current Capacity,405
Hernewood Intermediate,Westisle,2016 Enrollment,280
Hernewood Intermediate,Westisle,2022 Enrollment,263
Kensington Intermediate Senior High,KISH,Capacity at Build,520
Kensington Intermediate Senior High,KISH,Current Capacity,520
Kensington Intermediate Senior High,KISH,2016 Enrollment,280
Kensington Intermediate Senior High,KISH,2022 Enrollment,282
Kinkora Regional High,Kinkora,Capacity at Build,160
Kinkora Regional High,Kinkora,Current Capacity,160
Kinkora Regional High,Kinkora,2016 Enrollment,123
Kinkora Regional High,Kinkora,2022 Enrollment,121
L. M. Montgomery Elementary,Rural,Capacity at Build,375
L. M. Montgomery Elementary,Rural,Current Capacity,409
L. M. Montgomery Elementary,Rural,2016 Enrollment,435
L. M. Montgomery Elementary,Rural,2022 Enrollment,550
M. E. Callaghan Intermediate,Westisle,Capacity at Build,460
M. E. Callaghan Intermediate,Westisle,Current Capacity,405
M. E. Callaghan Intermediate,Westisle,2016 Enrollment,251
M. E. Callaghan Intermediate,Westisle,2022 Enrollment,157
Miscouche Consolidated,Three Oaks,Capacity at Build,260
Miscouche Consolidated,Three Oaks,Current Capacity,246
Miscouche Consolidated,Three Oaks,2016 Enrollment,216
Miscouche Consolidated,Three Oaks,2022 Enrollment,202
Montague Consolidated,Montague,Capacity at Build,575
Montague Consolidated,Montague,Current Capacity,505
Montague Consolidated,Montague,2016 Enrollment,417
Montague Consolidated,Montague,2022 Enrollment,393
Montague Intermediate,Montague,Capacity at Build,400
Montague Intermediate,Montague,Current Capacity,400
Montague Intermediate,Montague,2016 Enrollment,285
Montague Intermediate,Montague,2022 Enrollment,251
Montague Regional High,Montague,Capacity at Build,550
Montague Regional High,Montague,Current Capacity,550
Montague Regional High,Montague,2016 Enrollment,439
Montague Regional High,Montague,2022 Enrollment,364
Morell Consolidated,Morell,Capacity at Build,425
Morell Consolidated,Morell,Current Capacity,400
Morell Consolidated,Morell,2016 Enrollment,194
Morell Consolidated,Morell,2022 Enrollment,181
Morell Regional High,Morell,Capacity at Build,500
Morell Regional High,Morell,Current Capacity,500
Morell Regional High,Morell,2016 Enrollment,159
Morell Regional High,Morell,2022 Enrollment,143
Mt. Stewart Consolidated,Morell,Capacity at Build,240
Mt. Stewart Consolidated,Morell,Current Capacity,240
Mt. Stewart Consolidated,Morell,2016 Enrollment,183
Mt. Stewart Consolidated,Morell,2022 Enrollment,142
O'Leary Elementary,Westisle,Capacity at Build,500
O'Leary Elementary,Westisle,Current Capacity,425
