School,Year,Level,Size
Eastern Kings Consolidated,2007,Grade 8,10
Eastern Kings Consolidated,2007,Grade 9,0
Eastern Kings Consolidated,2007,Grade 10,0
Eastern Kings Consolidated,2007,Grade 11,0
Eastern Kings Consolidated,2007,Grade 12,0
Eastern Kings Consolidated,2008,K,0
Eastern Kings Consolidated,2008,Grade 1,0
Eastern Kings Consolidated,2008,Grade 2,8
Eastern Kings Consolidated,2008,Grade 3,6
Eastern Kings Consolidated,2008,Grade 4,8
Eastern Kings Consolidated,2008,Grade 5,10
Eastern Kings Consolidated,2008,Grade 6,6
Eastern Kings Consolidated,2008,Grade 7,12
Eastern Kings Consolidated,2008,Grade 8,5
Eastern Kings Consolidated,2008,Grade 9,0
Eastern Kings Consolidated,2008,Grade 10,0
Eastern Kings Consolidated,2008,Grade 11,0
Eastern Kings Consolidated,2008,Grade 12,0
Eliot River Elementary,1999,K,0
Eliot River Elementary,1999,Grade 1,0
Eliot River Elementary,1999,Grade 2,0
Eliot River Elementary,1999,Grade 3,0
Eliot River Elementary,1999,Grade 4,139
Eliot River Elementary,1999,Grade 5,131
Eliot River Elementary,1999,Grade 6,133
Eliot River Elementary,1999,Grade 7,0
Eliot River Elementary,1999,Grade 8,0
Eliot River Elementary,1999,Grade 9,0
Eliot River Elementary,1999,Grade 10,0
Eliot River Elementary,1999,Grade 11,0
Eliot River Elementary,1999,Grade 12,0
Eliot River Elementary,2000,K,0
Eliot River Elementary,2000,Grade 1,0
Eliot River Elementary,2000,Grade 2,0
Eliot River Elementary,2000,Grade 3,0
Eliot River Elementary,2000,Grade 4,143
Eliot River Elementary,2000,Grade 5,144
Eliot River Elementary,2000,Grade 6,130
Eliot River Elementary,2000,Grade 7,0
Eliot River Elementary,2000,Grade 8,0
Eliot River Elementary,2000,Grade 9,0
Eliot River Elementary,2000,Grade 10,0
Eliot River Elementary,2000,Grade 11,0
Eliot River Elementary,2000,Grade 12,0
Eliot River Elementary,2001,K,0
Eliot River Elementary,2001,Grade 1,0
Eliot River Elementary,2001,Grade 2,0
Eliot River Elementary,2001,Grade 3,0
Eliot River Elementary,2001,Grade 4,132
Eliot River Elementary,2001,Grade 5,150
Eliot River Elementary,2001,Grade 6,157
Eliot River Elementary,2001,Grade 7,0
Eliot River Elementary,2001,Grade 8,0
Eliot River Elementary,2001,Grade 9,0
Eliot River Elementary,2001,Grade 10,0
Eliot River Elementary,2001,Grade 11,0
Eliot River Elementary,2001,Grade 12,0
Eliot River Elementary,2002,K,0
Eliot River Elementary,2002,Grade 1,0
Eliot River Elementary,2002,Grade 2,0
Eliot River Elementary,2002,Grade 3,0
Eliot River Elementary,2002,Grade 4,151
Eliot River Elementary,2002,Grade 5,136
Eliot River Elementary,2002,Grade 6,150
Eliot River Elementary,2002,Grade 7,0
Eliot River Elementary,2002,Grade 8,0
Eliot River Elementary,2002,Grade 9,0
Eliot River Elementary,2002,Grade 10,0
Eliot River Elementary,2002,Grade 11,0
Eliot River Elementary,2002,Grade 12,0
Eliot River Elementary,2003,K,0
Eliot River Elementary,2003,Grade 1,0
Eliot River Elementary,2003,Grade 2,0
Eliot River Elementary,2003,Grade 3,0
Eliot River Elementary,2003,Grade 4,142
Eliot River Elementary,2003,Grade 5,152
Eliot River Elementary,2003,Grade 6,140
Eliot River Elementary,2003,Grade 7,0
Eliot River Elementary,2003,Grade 8,0
Eliot River Elementary,2003,Grade 9,0
Eliot River Elementary,2003,Grade 10,0
Eliot River Elementary,2003,Grade 11,0
Eliot River Elementary,2003,Grade 12,0
Eliot River Elementary,2004,K,0
Eliot River Elementary,2004,Grade 1,0
Eliot River Elementary,2004,Grade 2,0
Eliot River Elementary,2004,Grade 3,0
Eliot River Elementary,2004,Grade 4,130
Eliot River Elementary,2004,Grade 5,138
Eliot River Elementary,2004,Grade 6,155
Eliot River Elementary,2004,Grade 7,0
Eliot River Elementary,2004,Grade 8,0
Eliot River Elementary,2004,Grade 9,0
Eliot River Elementary,2004,Grade 10,0
Eliot River Elementary,2004,Grade 11,0
Eliot River Elementary,2004,Grade 12,0
Eliot River Elementary,2005,K,0
Eliot River Elementary,2005,Grade 1,0
Eliot River Elementary,2005,Grade 2,0
Eliot River Elementary,2005,Grade 3,0
Eliot River Elementary,2005,Grade 4,139
Eliot River Elementary,2005,Grade 5,136
Eliot River Elementary,2005,Grade 6,136
Eliot River Elementary,2005,Grade 7,0
Eliot River Elementary,2005,Grade 8,0
Eliot River Elementary,2005,Grade 9,0
Eliot River Elementary,2005,Grade 10,0
Eliot River Elementary,2005,Grade 11,0
Eliot River Elementary,2005,Grade 12,0
Eliot River Elementary,2006,K,0
Eliot River Elementary,2006,Grade 1,0
Eliot River Elementary,2006,Grade 2,0
Eliot River Elementary,2006,Grade 3,0
Eliot River Elementary,2006,Grade 4,134
Eliot River Elementary,2006,Grade 5,144
Eliot River Elementary,2006,Grade 6,129
Eliot River Elementary,2006,Grade 7,0
Eliot River Elementary,2006,Grade 8,0
Eliot River Elementary,2006,Grade 9,0
Eliot River Elementary,2006,Grade 10,0
Eliot River Elementary,2006,Grade 11,0
Eliot River Elementary,2006,Grade 12,0
Eliot River Elementary,2007,K,0
Eliot River Elementary,2007,Grade 1,0
Eliot River Elementary,2007,Grade 2,0
Eliot River Elementary,2007,Grade 3,0
Eliot River Elementary,2007,Grade 4,151
Eliot River Elementary,2007,Grade 5,129
Eliot River Elementary,2007,Grade 6,147
Eliot River Elementary,2007,Grade 7,0
Eliot River Elementary,2007,Grade 8,0
Eliot River Elementary,2007,Grade 9,0
Eliot River Elementary,2007,Grade 10,0
Eliot River Elementary,2007,Grade 11,0
Eliot River Elementary,2007,Grade 12,0
Eliot River Elementary,2008,K,0
Eliot River Elementary,2008,Grade 1,0
Eliot River Elementary,2008,Grade 2,0
Eliot River Elementary,2008,Grade 3,0
Eliot River Elementary,2008,Grade 4,134
Eliot River Elementary,2008,Grade 5,155
Eliot River Elementary,2008,Grade 6,124
Eliot River Elementary,2008,Grade 7,0
Eliot River Elementary,2008,Grade 8,0
Eliot River Elementary,2008,Grade 9,0
Eliot River Elementary,2008,Grade 10,0
Eliot River Elementary,2008,Grade 11,0
Eliot River Elementary,2008,Grade 12,0
Eliot River Elementary,2009,K,0
Eliot River Elementary,2009,Grade 1,0
Eliot River Elementary,2009,Grade 2,0
Eliot River Elementary,2009,Grade 3,0
Eliot River Elementary,2009,Grade 4,154
Eliot River Elementary,2009,Grade 5,132
Eliot River Elementary,2009,Grade 6,162
Eliot River Elementary,2009,Grade 7,0
Eliot River Elementary,2009,Grade 8,0
Eliot River Elementary,2009,Grade 9,0
Eliot River Elementary,2009,Grade 10,0
Eliot River Elementary,2009,Grade 11,0
Eliot River Elementary,2009,Grade 12,0
Eliot River Elementary,2010,K,0
Eliot River Elementary,2010,Grade 1,0
Eliot River Elementary,2010,Grade 2,0
Eliot River Elementary,2010,Grade 3,0
Eliot River Elementary,2010,Grade 4,127
Eliot River Elementary,2010,Grade 5,154
Eliot River Elementary,2010,Grade 6,136
Eliot River Elementary,2010,Grade 7,0
Eliot River Elementary,2010,Grade 8,0
Eliot River Elementary,2010,Grade 9,0
Eliot River Elementary,2010,Grade 10,0
Eliot River Elementary,2010,Grade 11,0
Eliot River Elementary,2010,Grade 12,0
Eliot River Elementary,2011,K,0
Eliot River Elementary,2011,Grade 1,0
Eliot River Elementary,2011,Grade 2,0
Eliot River Elementary,2011,Grade 3,0
Eliot River Elementary,2011,Grade 4,137
Eliot River Elementary,2011,Grade 5,134
Eliot River Elementary,2011,Grade 6,158
Eliot River Elementary,2011,Grade 7,0
Eliot River Elementary,2011,Grade 8,0
Eliot River Elementary,2011,Grade 9,0
Eliot River Elementary,2011,Grade 10,0
Eliot River Elementary,2011,Grade 11,0
Eliot River Elementary,2011,Grade 12,0
Eliot River Elementary,2012,K,0
Eliot River Elementary,2012,Grade 1,0
Eliot River Elementary,2012,Grade 2,0
Eliot River Elementary,2012,Grade 3,0
Eliot River Elementary,2012,Grade 4,158
Eliot River Elementary,2012,Grade 5,140
Eliot River Elementary,2012,Grade 6,137
Eliot River Elementary,2012,Grade 7,0
Eliot River Elementary,2012,Grade 8,0
Eliot River Elementary,2012,Grade 9,0
Eliot River Elementary,2012,Grade 10,0
Eliot River Elementary,2012,Grade 11,0
Eliot River Elementary,2012,Grade 12,0
Eliot River Elementary,2013,K,0
Eliot River Elementary,2013,Grade 1,0
Eliot River Elementary,2013,Grade 2,0
Eliot River Elementary,2013,Grade 3,0
Eliot River Elementary,2013,Grade 4,156
Eliot River Elementary,2013,Grade 5,156
Eliot River Elementary,2013,Grade 6,145
Eliot River Elementary,2013,Grade 7,0
Eliot River Elementary,2013,Grade 8,0
Eliot River Elementary,2013,Grade 9,0
Eliot River Elementary,2013,Grade 10,0
Eliot River Elementary,2013,Grade 11,0
Eliot River Elementary,2013,Grade 12,0
Eliot River Elementary,2014,K,0
Eliot River Elementary,2014,Grade 1,0
Eliot River Elementary,2014,Grade 2,0
Eliot River Elementary,2014,Grade 3,0
Eliot River Elementary,2014,Grade 4,132
Eliot River Elementary,2014,Grade 5,154
Eliot River Elementary,2014,Grade 6,164
Eliot River Elementary,2014,Grade 7,0
Eliot River Elementary,2014,Grade 8,0
Eliot River Elementary,2014,Grade 9,0
Eliot River Elementary,2014,Grade 10,0
Eliot River Elementary,2014,Grade 11,0
Eliot River Elementary,2014,Grade 12,0
Eliot River Elementary,2015,K,0
Eliot River Elementary,2015,Grade 1,0
Eliot River Elementary,2015,Grade 2,0
Eliot River Elementary,2015,Grade 3,0
Eliot River Elementary,2015,Grade 4,153
Eliot River Elementary,2015,Grade 5,131
Eliot River Elementary,2015,Grade 6,157
Eliot River Elementary,2015,Grade 7,0
Eliot River Elementary,2015,Grade 8,0
Eliot River Elementary,2015,Grade 9,0
Eliot River Elementary,2015,Grade 10,0
Eliot River Elementary,2015,Grade 11,0
Eliot River Elementary,2015,Grade 12,0
Ellerslie Elementary,1999,K,0
Ellerslie Elementary,1999,Grade 1,40
Ellerslie Elementary,1999,Grade 2,26
Ellerslie Elementary,1999,Grade 3,39
Ellerslie Elementary,1999,Grade 4,50
Ellerslie Elementary,1999,Grade 5,38
Ellerslie Elementary,1999,Grade 6,50
Ellerslie Elementary,1999,Grade 7,0
Ellerslie Elementary,1999,Grade 8,0
Ellerslie Elementary,1999,Grade 9,0
Ellerslie Elementary,1999,Grade 10,0
Ellerslie Elementary,1999,Grade 11,0
Ellerslie Elementary,1999,Grade 12,0
Ellerslie Elementary,2000,K,0
Ellerslie Elementary,2000,Grade 1,31
Ellerslie Elementary,2000,Grade 2,41
Ellerslie Elementary,2000,Grade 3,25
Ellerslie Elementary,2000,Grade 4,44
Ellerslie Elementary,2000,Grade 5,45
Ellerslie Elementary,2000,Grade 6,37
Ellerslie Elementary,2000,Grade 7,0
Ellerslie Elementary,2000,Grade 8,0
Ellerslie Elementary,2000,Grade 9,0
Ellerslie Elementary,2000,Grade 10,0
Ellerslie Elementary,2000,Grade 11,0
Ellerslie Elementary,2000,Grade 12,0
Ellerslie Elementary,2001,K,0
Ellerslie Elementary,2001,Grade 1,32
Ellerslie Elementary,2001,Grade 2,35
Ellerslie Elementary,2001,Grade 3,38
Ellerslie Elementary,2001,Grade 4,25
Ellerslie Elementary,2001,Grade 5,41
Ellerslie Elementary,2001,Grade 6,43
Ellerslie Elementary,2001,Grade 7,0
Ellerslie Elementary,2001,Grade 8,0
Ellerslie Elementary,2001,Grade 9,0
Ellerslie Elementary,2001,Grade 10,0
Ellerslie Elementary,2001,Grade 11,0
Ellerslie Elementary,2001,Grade 12,0
Ellerslie Elementary,2002,K,0
Ellerslie Elementary,2002,Grade 1,23
Ellerslie Elementary,2002,Grade 2,32
Ellerslie Elementary,2002,Grade 3,34
Ellerslie Elementary,2002,Grade 4,37
Ellerslie Elementary,2002,Grade 5,26
Ellerslie Elementary,2002,Grade 6,41
Ellerslie Elementary,2002,Grade 7,0
Ellerslie Elementary,2002,Grade 8,0
Ellerslie Elementary,2002,Grade 9,0
Ellerslie Elementary,2002,Grade 10,0
Ellerslie Elementary,2002,Grade 11,0
Ellerslie Elementary,2002,Grade 12,0
Ellerslie Elementary,2003,K,0
Ellerslie Elementary,2003,Grade 1,22
Ellerslie Elementary,2003,Grade 2,23
Ellerslie Elementary,2003,Grade 3,34
Ellerslie Elementary,2003,Grade 4,36
Ellerslie Elementary,2003,Grade 5,38
Ellerslie Elementary,2003,Grade 6,26
Ellerslie Elementary,2003,Grade 7,0
Ellerslie Elementary,2003,Grade 8,0
Ellerslie Elementary,2003,Grade 9,0
Ellerslie Elementary,2003,Grade 10,0
Ellerslie Elementary,2003,Grade 11,0
Ellerslie Elementary,2003,Grade 12,0
Ellerslie Elementary,2004,K,0
Ellerslie Elementary,2004,Grade 1,36
Ellerslie Elementary,2004,Grade 2,19
Ellerslie Elementary,2004,Grade 3,24
Ellerslie Elementary,2004,Grade 4,33
Ellerslie Elementary,2004,Grade 5,36
Ellerslie Elementary,2004,Grade 6,35
Ellerslie Elementary,2004,Grade 7,0
Ellerslie Elementary,2004,Grade 8,0
Ellerslie Elementary,2004,Grade 9,0
Ellerslie Elementary,2004,Grade 10,0
Ellerslie Elementary,2004,Grade 11,0
Ellerslie Elementary,2004,Grade 12,0
Ellerslie Elementary,2005,K,0
Ellerslie Elementary,2005,Grade 1,24
Ellerslie Elementary,2005,Grade 2,36
Ellerslie Elementary,2005,Grade 3,19
Ellerslie Elementary,2005,Grade 4,24
Ellerslie Elementary,2005,Grade 5,34
Ellerslie Elementary,2005,Grade 6,36
Ellerslie Elementary,2005,Grade 7,0
Ellerslie Elementary,2005,Grade 8,0
Ellerslie Elementary,2005,Grade 9,0
Ellerslie Elementary,2005,Grade 10,0
Ellerslie Elementary,2005,Grade 11,0
Ellerslie Elementary,2005,Grade 12,0
Ellerslie Elementary,2006,K,0
Ellerslie Elementary,2006,Grade 1,18
Ellerslie Elementary,2006,Grade 2,24
Ellerslie Elementary,2006,Grade 3,37
Ellerslie Elementary,2006,Grade 4,18
Ellerslie Elementary,2006,Grade 5,22
Ellerslie Elementary,2006,Grade 6,30
Ellerslie Elementary,2006,Grade 7,0
Ellerslie Elementary,2006,Grade 8,0
Ellerslie Elementary,2006,Grade 9,0
Ellerslie Elementary,2006,Grade 10,0
Ellerslie Elementary,2006,Grade 11,0
Ellerslie Elementary,2006,Grade 12,0
Ellerslie Elementary,2007,K,0
Ellerslie Elementary,2007,Grade 1,21
Ellerslie Elementary,2007,Grade 2,20
Ellerslie Elementary,2007,Grade 3,28
Ellerslie Elementary,2007,Grade 4,35
Ellerslie Elementary,2007,Grade 5,20
Ellerslie Elementary,2007,Grade 6,22
Ellerslie Elementary,2007,Grade 7,0
Ellerslie Elementary,2007,Grade 8,0
Ellerslie Elementary,2007,Grade 9,0
Ellerslie Elementary,2007,Grade 10,0
Ellerslie Elementary,2007,Grade 11,0
Ellerslie Elementary,2007,Grade 12,0
Ellerslie Elementary,2008,K,0
Ellerslie Elementary,2008,Grade 1,29
Ellerslie Elementary,2008,Grade 2,24
Ellerslie Elementary,2008,Grade 3,21
Ellerslie Elementary,2008,Grade 4,26
Ellerslie Elementary,2008,Grade 5,37
Ellerslie Elementary,2008,Grade 6,21
Ellerslie Elementary,2008,Grade 7,0
Ellerslie Elementary,2008,Grade 8,0
Ellerslie Elementary,2008,Grade 9,0
Ellerslie Elementary,2008,Grade 10,0
Ellerslie Elementary,2008,Grade 11,0
Ellerslie Elementary,2008,Grade 12,0
Ellerslie Elementary,2009,K,0
Ellerslie Elementary,2009,Grade 1,40
Ellerslie Elementary,2009,Grade 2,29
Ellerslie Elementary,2009,Grade 3,22
Ellerslie Elementary,2009,Grade 4,21
Ellerslie Elementary,2009,Grade 5,28
Ellerslie Elementary,2009,Grade 6,36
Ellerslie Elementary,2009,Grade 7,0
Ellerslie Elementary,2009,Grade 8,0
Ellerslie Elementary,2009,Grade 9,0
Ellerslie Elementary,2009,Grade 10,0
Ellerslie Elementary,2009,Grade 11,0
Ellerslie Elementary,2009,Grade 12,0
Ellerslie Elementary,2010,K,22
Ellerslie Elementary,2010,Grade 1,40
Ellerslie Elementary,2010,Grade 2,35
Ellerslie Elementary,2010,Grade 3,28
Ellerslie Elementary,2010,Grade 4,22
Ellerslie Elementary,2010,Grade 5,19
Ellerslie Elementary,2010,Grade 6,24
Ellerslie Elementary,2010,Grade 7,0
Ellerslie Elementary,2010,Grade 8,0
Ellerslie Elementary,2010,Grade 9,0
Ellerslie Elementary,2010,Grade 10,0
Ellerslie Elementary,2010,Grade 11,0
Ellerslie Elementary,2010,Grade 12,0
Ellerslie Elementary,2011,K,22
Ellerslie Elementary,2011,Grade 1,24
Ellerslie Elementary,2011,Grade 2,40
Ellerslie Elementary,2011,Grade 3,35
Ellerslie Elementary,2011,Grade 4,26
Ellerslie Elementary,2011,Grade 5,21
Ellerslie Elementary,2011,Grade 6,20
Ellerslie Elementary,2011,Grade 7,0
Ellerslie Elementary,2011,Grade 8,0
Ellerslie Elementary,2011,Grade 9,0
Ellerslie Elementary,2011,Grade 10,0
Ellerslie Elementary,2011,Grade 11,0
Ellerslie Elementary,2011,Grade 12,0
Ellerslie Elementary,2012,K,18
Ellerslie Elementary,2012,Grade 1,23
Ellerslie Elementary,2012,Grade 2,22
Ellerslie Elementary,2012,Grade 3,39
Ellerslie Elementary,2012,Grade 4,35
Ellerslie Elementary,2012,Grade 5,27
Ellerslie Elementary,2012,Grade 6,22
Ellerslie Elementary,2012,Grade 7,0
Ellerslie Elementary,2012,Grade 8,0
Ellerslie Elementary,2012,Grade 9,0
Ellerslie Elementary,2012,Grade 10,0
Ellerslie Elementary,2012,Grade 11,0
Ellerslie Elementary,2012,Grade 12,0
Ellerslie Elementary,2013,K,30
Ellerslie Elementary,2013,Grade 1,19
Ellerslie Elementary,2013,Grade 2,24
Ellerslie Elementary,2013,Grade 3,26
Ellerslie Elementary,2013,Grade 4,39
Ellerslie Elementary,2013,Grade 5,35
Ellerslie Elementary,2013,Grade 6,26
Ellerslie Elementary,2013,Grade 7,0
Ellerslie Elementary,2013,Grade 8,0
Ellerslie Elementary,2013,Grade 9,0
Ellerslie Elementary,2013,Grade 10,0
Ellerslie Elementary,2013,Grade 11,0
Ellerslie Elementary,2013,Grade 12,0
Ellerslie Elementary,2014,K,26
Ellerslie Elementary,2014,Grade 1,31
Ellerslie Elementary,2014,Grade 2,19
Ellerslie Elementary,2014,Grade 3,27
Ellerslie Elementary,2014,Grade 4,25
Ellerslie Elementary,2014,Grade 5,39
Ellerslie Elementary,2014,Grade 6,35
Ellerslie Elementary,2014,Grade 7,0
Ellerslie Elementary,2014,Grade 8,0
Ellerslie Elementary,2014,Grade 9,0
Ellerslie Elementary,2014,Grade 10,0
Ellerslie Elementary,2014,Grade 11,0
Ellerslie Elementary,2014,Grade 12,0
Ellerslie Elementary,2015,K,38
Ellerslie Elementary,2015,Grade 1,24
Ellerslie Elementary,2015,Grade 2,29
Ellerslie Elementary,2015,Grade 3,21
Ellerslie Elementary,2015,Grade 4,26
Ellerslie Elementary,2015,Grade 5,25
Ellerslie Elementary,2015,Grade 6,38
Ellerslie Elementary,2015,Grade 7,0
Ellerslie Elementary,2015,Grade 8,0
Ellerslie Elementary,2015,Grade 9,0
Ellerslie Elementary,2015,Grade 10,0
Ellerslie Elementary,2015,Grade 11,0
Ellerslie Elementary,2015,Grade 12,0
Elm Street Elementary,1999,K,0
Elm Street Elementary,1999,Grade 1,56
Elm Street Elementary,1999,Grade 2,56
Elm Street Elementary,1999,Grade 3,63
Elm Street Elementary,1999,Grade 4,104
Elm Street Elementary,1999,Grade 5,107
Elm Street Elementary,1999,Grade 6,91
Elm Street Elementary,1999,Grade 7,0
Elm Street Elementary,1999,Grade 8,0
Elm Street Elementary,1999,Grade 9,0
Elm Street Elementary,1999,Grade 10,0
Elm Street Elementary,1999,Grade 11,0
Elm Street Elementary,1999,Grade 12,0
Elm Street Elementary,2000,K,0
Elm Street Elementary,2000,Grade 1,56
Elm Street Elementary,2000,Grade 2,52
Elm Street Elementary,2000,Grade 3,60
Elm Street Elementary,2000,Grade 4,104
Elm Street Elementary,2000,Grade 5,100
Elm Street Elementary,2000,Grade 6,104
Elm Street Elementary,2000,Grade 7,0
Elm Street Elementary,2000,Grade 8,0
Elm Street Elementary,2000,Grade 9,0
Elm Street Elementary,2000,Grade 10,0
Elm Street Elementary,2000,Grade 11,0
Elm Street Elementary,2000,Grade 12,0
Elm Street Elementary,2001,K,0
Elm Street Elementary,2001,Grade 1,65
Elm Street Elementary,2001,Grade 2,46
Elm Street Elementary,2001,Grade 3,49
Elm Street Elementary,2001,Grade 4,96
Elm Street Elementary,2001,Grade 5,96
Elm Street Elementary,2001,Grade 6,92
Elm Street Elementary,2001,Grade 7,0
Elm Street Elementary,2001,Grade 8,0
Elm Street Elementary,2001,Grade 9,0
Elm Street Elementary,2001,Grade 10,0
Elm Street Elementary,2001,Grade 11,0
Elm Street Elementary,2001,Grade 12,0
Elm Street Elementary,2002,K,0
Elm Street Elementary,2002,Grade 1,71
Elm Street Elementary,2002,Grade 2,71
Elm Street Elementary,2002,Grade 3,53
Elm Street Elementary,2002,Grade 4,96
Elm Street Elementary,2002,Grade 5,98
Elm Street Elementary,2002,Grade 6,99
Elm Street Elementary,2002,Grade 7,0
Elm Street Elementary,2002,Grade 8,0
Elm Street Elementary,2002,Grade 9,0
Elm Street Elementary,2002,Grade 10,0
Elm Street Elementary,2002,Grade 11,0
Elm Street Elementary,2002,Grade 12,0
Elm Street Elementary,2003,K,0
Elm Street Elementary,2003,Grade 1,54
Elm Street Elementary,2003,Grade 2,70
Elm Street Elementary,2003,Grade 3,70
Elm Street Elementary,2003,Grade 4,86
Elm Street Elementary,2003,Grade 5,89
Elm Street Elementary,2003,Grade 6,98
Elm Street Elementary,2003,Grade 7,0
Elm Street Elementary,2003,Grade 8,0
Elm Street Elementary,2003,Grade 9,0
Elm Street Elementary,2003,Grade 10,0
Elm Street Elementary,2003,Grade 11,0
Elm Street Elementary,2003,Grade 12,0
Elm Street Elementary,2004,K,0
Elm Street Elementary,2004,Grade 1,56
Elm Street Elementary,2004,Grade 2,58
Elm Street Elementary,2004,Grade 3,67
Elm Street Elementary,2004,Grade 4,107
Elm Street Elementary,2004,Grade 5,90
Elm Street Elementary,2004,Grade 6,90
Elm Street Elementary,2004,Grade 7,0
Elm Street Elementary,2004,Grade 8,0
Elm Street Elementary,2004,Grade 9,0
Elm Street Elementary,2004,Grade 10,0
Elm Street Elementary,2004,Grade 11,0
Elm Street Elementary,2004,Grade 12,0
Elm Street Elementary,2005,K,0
Elm Street Elementary,2005,Grade 1,73
Elm Street Elementary,2005,Grade 2,55
Elm Street Elementary,2005,Grade 3,60
Elm Street Elementary,2005,Grade 4,106
Elm Street Elementary,2005,Grade 5,103
Elm Street Elementary,2005,Grade 6,95
Elm Street Elementary,2005,Grade 7,0
Elm Street Elementary,2005,Grade 8,0
Elm Street Elementary,2005,Grade 9,0
Elm Street Elementary,2005,Grade 10,0
Elm Street Elementary,2005,Grade 11,0
Elm Street Elementary,2005,Grade 12,0
Elm Street Elementary,2006,K,0
Elm Street Elementary,2006,Grade 1,49
Elm Street Elementary,2006,Grade 2,73
Elm Street Elementary,2006,Grade 3,50
Elm Street Elementary,2006,Grade 4,105
Elm Street Elementary,2006,Grade 5,103
Elm Street Elementary,2006,Grade 6,103
Elm Street Elementary,2006,Grade 7,0
Elm Street Elementary,2006,Grade 8,0
Elm Street Elementary,2006,Grade 9,0
Elm Street Elementary,2006,Grade 10,0
Elm Street Elementary,2006,Grade 11,0
Elm Street Elementary,2006,Grade 12,0
Elm Street Elementary,2007,K,0
Elm Street Elementary,2007,Grade 1,43
Elm Street Elementary,2007,Grade 2,47
Elm Street Elementary,2007,Grade 3,68
Elm Street Elementary,2007,Grade 4,93
Elm Street Elementary,2007,Grade 5,106
Elm Street Elementary,2007,Grade 6,105
Elm Street Elementary,2007,Grade 7,0
Elm Street Elementary,2007,Grade 8,0
Elm Street Elementary,2007,Grade 9,0
Elm Street Elementary,2007,Grade 10,0
Elm Street Elementary,2007,Grade 11,0
Elm Street Elementary,2007,Grade 12,0
Elm Street Elementary,2008,K,0
Elm Street Elementary,2008,Grade 1,38
Elm Street Elementary,2008,Grade 2,47
Elm Street Elementary,2008,Grade 3,49
Elm Street Elementary,2008,Grade 4,68
Elm Street Elementary,2008,Grade 5,90
Elm Street Elementary,2008,Grade 6,101
Elm Street Elementary,2008,Grade 7,0
Elm Street Elementary,2008,Grade 8,0
Elm Street Elementary,2008,Grade 9,0
Elm Street Elementary,2008,Grade 10,0
Elm Street Elementary,2008,Grade 11,0
Elm Street Elementary,2008,Grade 12,0
Elm Street Elementary,2009,K,0
Elm Street Elementary,2009,Grade 1,56
Elm Street Elementary,2009,Grade 2,43
Elm Street Elementary,2009,Grade 3,49
Elm Street Elementary,2009,Grade 4,98
Elm Street Elementary,2009,Grade 5,106
Elm Street Elementary,2009,Grade 6,89
Elm Street Elementary,2009,Grade 7,0
Elm Street Elementary,2009,Grade 8,0
Elm Street Elementary,2009,Grade 9,0
Elm Street Elementary,2009,Grade 10,0
Elm Street Elementary,2009,Grade 11,0
Elm Street Elementary,2009,Grade 12,0
Elm Street Elementary,2010,K,66
Elm Street Elementary,2010,Grade 1,62
Elm Street Elementary,2010,Grade 2,61
Elm Street Elementary,2010,Grade 3,50
Elm Street Elementary,2010,Grade 4,57
Elm Street Elementary,2010,Grade 5,99
Elm Street Elementary,2010,Grade 6,107
Elm Street Elementary,2010,Grade 7,0
Elm Street Elementary,2010,Grade 8,0
Elm Street Elementary,2010,Grade 9,0
Elm Street Elementary,2010,Grade 10,0
Elm Street Elementary,2010,Grade 11,0
Elm Street Elementary,2010,Grade 12,0
Elm Street Elementary,2011,K,53
Elm Street Elementary,2011,Grade 1,60
Elm Street Elementary,2011,Grade 2,64
Elm Street Elementary,2011,Grade 3,59
Elm Street Elementary,2011,Grade 4,50
Elm Street Elementary,2011,Grade 5,55
Elm Street Elementary,2011,Grade 6,97
Elm Street Elementary,2011,Grade 7,0
Elm Street Elementary,2011,Grade 8,0
Elm Street Elementary,2011,Grade 9,0
Elm Street Elementary,2011,Grade 10,0
Elm Street Elementary,2011,Grade 11,0
Elm Street Elementary,2011,Grade 12,0
Elm Street Elementary,2012,K,54
Elm Street Elementary,2012,Grade 1,58
Elm Street Elementary,2012,Grade 2,61
Elm Street Elementary,2012,Grade 3,66
Elm Street Elementary,2012,Grade 4,59
Elm Street Elementary,2012,Grade 5,50
Elm Street Elementary,2012,Grade 6,57
Elm Street Elementary,2012,Grade 7,0
Elm Street Elementary,2012,Grade 8,0
Elm Street Elementary,2012,Grade 9,0
Elm Street Elementary,2012,Grade 10,0
Elm Street Elementary,2012,Grade 11,0
Elm Street Elementary,2012,Grade 12,0
Elm Street Elementary,2013,K,75
Elm Street Elementary,2013,Grade 1,54
Elm Street Elementary,2013,Grade 2,54
Elm Street Elementary,2013,Grade 3,64
Elm Street Elementary,2013,Grade 4,63
Elm Street Elementary,2013,Grade 5,62
Elm Street Elementary,2013,Grade 6,53
Elm Street Elementary,2013,Grade 7,0
Elm Street Elementary,2013,Grade 8,0
Elm Street Elementary,2013,Grade 9,0
Elm Street Elementary,2013,Grade 10,0
Elm Street Elementary,2013,Grade 11,0
Elm Street Elementary,2013,Grade 12,0
Elm Street Elementary,2014,K,66
Elm Street Elementary,2014,Grade 1,73
Elm Street Elementary,2014,Grade 2,55
Elm Street Elementary,2014,Grade 3,50
Elm Street Elementary,2014,Grade 4,62
Elm Street Elementary,2014,Grade 5,65
Elm Street Elementary,2014,Grade 6,63
